,AREA_TITLE,PRIM_STATE,AREA_TYPE,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,A_MEAN,A_MEDIAN
118,New Hampshire,NH,2,43-9021,Data Entry Keyers,780,1.141,42380,41940
119,New Jersey,NJ,2,15-1242,Database Administrators,2060,0.485,126670,128970
120,New Jersey,NJ,2,15-1243,Database Architects,2530,0.595,144260,143900
121,New Jersey,NJ,2,15-2051,Data Scientists,5860,1.379,131800,130370
122,New Jersey,NJ,2,43-9021,Data Entry Keyers,5240,1.232,44850,43480
123,New Mexico,NM,2,15-1242,Database Administrators,520,0.609,94480,94850
124,New Mexico,NM,2,15-1243,Database Architects,130,0.148,117620,120120
125,New Mexico,NM,2,15-2051,Data Scientists,510,0.589,86520,85040
126,New Mexico,NM,2,43-9021,Data Entry Keyers,410,0.471,43440,44960
127,New York,NY,2,15-1242,Database Administrators,3680,0.385,113070,106940
128,New York,NY,2,15-1243,Database Architects,4180,0.438,137840,128270
129,New York,NY,2,15-2051,Data Scientists,20070,2.103,133450,125400
130,New York,NY,2,43-9021,Data Entry Keyers,9890,1.036,45770,42990
131,North Carolina,NC,2,15-1242,Database Administrators,1990,0.407,106140,108430
132,North Carolina,NC,2,15-1243,Database Architects,4060,0.829,129750,130560
133,North Carolina,NC,2,15-2051,Data Scientists,10140,2.071,118020,115380
134,North Carolina,NC,2,43-9021,Data Entry Keyers,4110,0.839,39720,38580
135,North Dakota,ND,2,15-1242,Database Administrators,90,0.206,85950,76400
136,North Dakota,ND,2,15-1243,Database Architects,50,0.111,112830,116120
137,North Dakota,ND,2,15-2051,Data Scientists,320,0.747,94130,96230
138,North Dakota,ND,2,43-9021,Data Entry Keyers,60,0.146,*,*
139,Ohio,OH,2,15-1242,Database Administrators,1770,0.319,96400,94020
140,Ohio,OH,2,15-1243,Database Architects,2230,0.403,133170,129840
141,Ohio,OH,2,15-2051,Data Scientists,5510,0.996,100260,98620
142,Ohio,OH,2,43-9021,Data Entry Keyers,5450,0.986,41120,39810
143,Oklahoma,OK,2,15-1242,Database Administrators,660,0.391,87430,76980
144,Oklahoma,OK,2,15-1243,Database Architects,730,0.432,133880,132360
145,Oklahoma,OK,2,15-2051,Data Scientists,2160,1.276,89940,80380
146,Oklahoma,OK,2,43-9021,Data Entry Keyers,1760,1.043,36520,35510
147,Oregon,OR,2,15-1242,Database Administrators,930,0.473,105050,102650
148,Oregon,OR,2,15-1243,Database Architects,710,0.361,147530,139660
149,Oregon,OR,2,15-2051,Data Scientists,2650,1.349,124060,106100
150,Oregon,OR,2,43-9021,Data Entry Keyers,1180,0.599,47230,45650
151,Pennsylvania,PA,2,15-1242,Database Administrators,5000,0.831,105100,107800
152,Pennsylvania,PA,2,15-1243,Database Architects,2240,0.372,130130,129040
153,Pennsylvania,PA,2,15-2051,Data Scientists,10430,1.734,107450,100320
154,Pennsylvania,PA,2,43-9021,Data Entry Keyers,7350,1.223,41760,42400
155,Rhode Island,RI,2,15-1242,Database Administrators,320,0.645,104100,103810
156,Rhode Island,RI,2,15-1243,Database Architects,190,0.389,149350,136510
157,Rhode Island,RI,2,15-2051,Data Scientists,1190,2.412,119400,114390
158,Rhode Island,RI,2,43-9021,Data Entry Keyers,290,0.588,46990,46290
159,South Carolina,SC,2,15-1242,Database Administrators,660,0.293,99890,92670
160,South Carolina,SC,2,15-1243,Database Architects,730,0.322,128340,128440
161,South Carolina,SC,2,15-2051,Data Scientists,2810,1.239,96970,90660
162,South Carolina,SC,2,43-9021,Data Entry Keyers,1520,0.668,38170,36590
163,South Dakota,SD,2,15-1242,Database Administrators,150,0.325,87610,85890
164,South Dakota,SD,2,15-1243,Database Architects,60,0.122,121220,127460
165,South Dakota,SD,2,15-2051,Data Scientists,270,0.586,92460,92000
166,South Dakota,SD,2,43-9021,Data Entry Keyers,**,**,37390,38140
167,Tennessee,TN,2,15-1242,Database Administrators,1440,0.438,100650,101640
168,Tennessee,TN,2,15-1243,Database Architects,680,0.208,125840,128440
169,Tennessee,TN,2,15-2051,Data Scientists,2550,0.778,114830,104700
170,Tennessee,TN,2,43-9021,Data Entry Keyers,1860,0.568,40780,39670
171,Texas,TX,2,15-1242,Database Administrators,6110,0.441,109330,109990
172,Texas,TX,2,15-1243,Database Architects,6330,0.457,136930,133800
173,Texas,TX,2,15-2051,Data Scientists,23420,1.691,114800,106540
174,Texas,TX,2,43-9021,Data Entry Keyers,19950,1.441,38980,37180
175,Utah,UT,2,15-1242,Database Administrators,800,0.468,105050,97890
176,Utah,UT,2,15-1243,Database Architects,630,0.369,134470,127770
177,Utah,UT,2,15-2051,Data Scientists,4830,2.827,119640,116420
178,Utah,UT,2,43-9021,Data Entry Keyers,2430,1.419,45060,41600
179,Vermont,VT,2,15-1242,Database Administrators,120,0.407,99980,102170
