OCC_CODE,Occupation,Location,Average_Salary,Median_Salary,Total_Jobs,A_MEAN_suppressed,A_MEDIAN_suppressed,TOT_EMP_suppressed,Location_Type,Year,Data_Source
43-9021,Data Entry Keyers,Montana,41310.0,39750.0,380.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Nebraska,96080.0,92470.0,540.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Nebraska,129750.0,132320.0,590.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Nebraska,97720.0,96470.0,1850.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Nebraska,36390.0,36330.0,1110.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Nevada,87960.0,86980.0,470.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Nevada,124010.0,130360.0,320.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Nevada,98820.0,93310.0,1230.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Nevada,40760.0,37980.0,480.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,New Hampshire,109190.0,121820.0,230.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,New Hampshire,102230.0,98970.0,870.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,New Hampshire,42380.0,41940.0,780.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,New Jersey,126670.0,128970.0,2060.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,New Jersey,144260.0,143900.0,2530.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,New Jersey,131800.0,130370.0,5860.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,New Jersey,44850.0,43480.0,5240.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,New Mexico,94480.0,94850.0,520.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,New Mexico,117620.0,120120.0,130.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,New Mexico,86520.0,85040.0,510.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,New Mexico,43440.0,44960.0,410.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,New York,113070.0,106940.0,3680.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,New York,137840.0,128270.0,4180.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,New York,133450.0,125400.0,20070.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,New York,45770.0,42990.0,9890.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,North Carolina,106140.0,108430.0,1990.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,North Carolina,129750.0,130560.0,4060.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,North Carolina,118020.0,115380.0,10140.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,North Carolina,39720.0,38580.0,4110.0,False,False,False,State,2024,BLS OEWS
